,player_name,wins,loss,player_agent,player_kills,player_deaths,player_assists,player_first_bloods,player_first_deaths,player_clutches,player_combat_score,bracket,region,KPR,KPR_Variance
8784,Natasha,1,0,Cypher,16,17,4,1,3,0,176.31,game-changers,BR,0.62,1.39
8785,bizerra,0,1,Cypher,21,17,3,0,2,1,215.5,game-changers,BR,0.81,1.0
8786,bstrdd,0,1,Raze,24,21,2,7,2,0,265.15,game-changers,BR,0.92,0.84
8787,daiki,0,1,Skye,11,18,12,1,3,1,131.38,game-changers,BR,0.42,0.4
8788,isaa,0,1,Viper,20,18,6,4,3,1,231.38,game-changers,BR,0.77,1.25
8789,Joojina,0,1,Brimstone,10,20,12,1,3,0,116.58,game-changers,BR,0.38,0.24
8811,roxi,0,1,Cypher,6,13,5,0,0,1,112.82,game-changers,EMEA,0.35,0.35
8812,Glance,0,1,Sova,4,16,3,0,2,0,88.18,game-changers,EMEA,0.24,0.18
8815,mimi,1,0,KAY/O,12,9,7,1,1,1,165.06,game-changers,EMEA,0.71,0.68
8816,Petra,1,0,Sova,14,9,9,3,1,0,239.82,game-changers,EMEA,0.82,0.85
8818,Vania,1,0,Viper,9,9,6,2,1,0,152.59,vct-international,EMEA,0.53,0.37
8819,rezq,1,0,Jett,30,6,2,8,0,0,469.41,game-changers,EMEA,1.76,1.0
8825,romi,1,0,Cypher,16,5,2,2,0,0,221.06,game-changers,LATAM,1.0,0.75
8827,micaela,1,0,Fade,14,4,11,2,0,0,230.5,game-changers,LATAM,0.88,0.86
8828,conir,1,0,Omen,9,8,8,0,1,0,152.25,vct-challengers,LATAM,0.56,0.62
8829,dods,1,0,Raze,20,8,7,6,0,0,382.06,game-changers,LATAM,1.25,0.94
8840,srN,1,0,Raze,24,19,8,2,5,1,302.54,game-changers,BR,1.0,0.92
8842,sayuri,1,0,Omen,13,18,10,0,4,0,125.92,game-changers,BR,0.54,0.41
8845,bizerra,0,1,Cypher,14,16,3,1,2,1,161.92,game-changers,BR,0.58,0.58
8846,bstrdd,0,1,Raze,23,20,5,6,2,0,281.12,game-changers,BR,0.96,1.04
8847,daiki,0,1,KAY/O,17,16,11,2,2,0,205.71,game-changers,BR,0.71,0.79
8848,isaa,0,1,Gekko,16,20,7,5,0,0,189.29,game-changers,BR,0.67,0.72
8849,Joojina,0,1,Omen,18,17,8,1,3,1,201.54,game-changers,BR,0.75,0.94
8852,kalita,0,1,Skye,6,17,7,1,1,0,113.26,game-changers,BR,0.32,0.43
8853,krysme,0,1,Viper,11,15,1,1,2,0,154.53,game-changers,BR,0.58,0.77
8857,shyz,1,0,Gekko,14,9,11,2,2,3,219.32,game-changers,BR,0.74,0.83
8858,lissA,1,0,Viper,16,12,4,1,1,0,238.58,game-changers,BR,0.84,1.4
8860,dods,1,0,Raze,14,15,7,3,8,0,216.75,game-changers,LATAM,0.7,1.61
8861,romi,1,0,Killjoy,16,9,3,1,2,0,231.65,game-changers,LATAM,0.8,0.86
8863,micaela,1,0,Fade,14,11,5,0,0,0,191.2,game-changers,LATAM,0.7,0.61
8864,conir,1,0,Omen,14,11,7,0,2,1,156.9,vct-challengers,LATAM,0.7,0.81
8871,ICamii,1,0,Viper,21,15,7,2,2,0,269.59,game-changers,LATAM,0.95,1.77
8904,florescent,1,0,Raze,26,20,3,5,4,0,264.93,game-changers,NA,0.93,0.92
8908,dodonut,0,1,Raze,22,22,4,6,7,0,228.25,game-changers,NA,0.79,0.81
8922,miyori,1,0,Cypher,18,8,2,4,1,0,329.93,game-changers,EMEA,1.2,0.83
8923,sarah2,1,0,Breach,11,7,9,2,0,0,198.53,game-changers,EMEA,0.73,0.86
8940,Natasha,1,0,Cypher,10,4,3,2,1,0,156.4,game-changers,BR,0.67,0.49
8941,antg,1,0,KAY/O,10,4,9,0,0,0,183.4,game-changers,BR,0.67,0.62
8944,m4ndfreak,1,0,Omen,14,3,5,1,0,0,216.07,game-changers,BR,0.93,1.13
8951,krysme,0,1,Viper,14,14,1,3,3,0,222.72,game-changers,BR,0.78,1.28
8954,kalita,0,1,Skye,4,14,4,0,2,0,68.06,game-changers,BR,0.22,0.17
8955,bizerra,1,0,Viper,16,8,6,2,1,0,261.17,game-changers,BR,0.89,0.54
8956,bstrdd,1,0,Raze,18,13,4,5,0,1,253.39,game-changers,BR,1.0,0.67
8957,daiki,1,0,Skye,16,10,8,2,3,0,249.06,game-changers,BR,0.89,0.88
8958,isaa,1,0,Gekko,10,10,5,1,1,0,152.94,game-changers,BR,0.56,0.47
8959,Joojina,1,0,Brimstone,16,10,10,1,2,1,237.67,game-changers,BR,0.89,0.77
8970,Ivy,1,0,Chamber,26,14,7,5,0,0,313.36,game-changers,LATAM,1.18,0.69
8971,mmonch,1,0,Viper,18,15,10,2,2,0,210.05,game-changers,LATAM,0.82,0.88
8973,JuW,1,0,Raze,18,15,9,6,2,0,272.32,game-changers,LATAM,0.82,0.88
9001,Vania,1,0,Omen,23,13,8,2,1,0,266.64,vct-international,EMEA,1.05,1.04
9002,rezq,1,0,Raze,19,14,5,8,5,0,257.59,game-changers,EMEA,0.86,0.66
9003,Petra,1,0,Fade,11,15,8,0,2,1,173.0,game-changers,EMEA,0.5,0.61
9004,mimi,1,0,Breach,10,12,6,0,1,2,124.14,game-changers,EMEA,0.45,0.7
9010,Ivy,1,0,KAY/O,8,8,17,2,1,0,161.2,game-changers,LATAM,0.53,0.52
9011,mmonch,1,0,Killjoy,19,7,3,1,1,0,315.2,game-changers,LATAM,1.27,0.73
9013,JuW,1,0,Jett,15,10,9,4,2,1,279.73,game-changers,LATAM,1.0,0.53
9020,srN,1,0,Raze,19,20,7,6,7,1,246.42,game-changers,BR,0.79,1.83
9022,sayuri,1,0,Breach,15,15,19,1,0,0,178.12,game-changers,BR,0.62,0.48
9025,m4ndfreak,0,1,Omen,13,19,13,3,2,0,182.17,game-changers,BR,0.54,0.91
9028,antg,0,1,KAY/O,23,18,11,2,3,0,279.79,game-changers,BR,0.96,1.04
9029,Natasha,0,1,Cypher,16,16,4,3,2,1,192.42,game-changers,BR,0.67,0.81
9030,mmonch,1,0,Clove,15,9,11,4,1,1,245.5,game-changers,LATAM,0.94,0.68
9032,JuW,1,0,Jett,13,9,1,0,4,1,194.5,game-changers,LATAM,0.81,0.78
9034,Ivy,1,0,Raze,16,12,7,1,2,0,287.06,game-changers,LATAM,1.0,0.75
9036,ICamii,0,1,Astra,7,13,6,1,2,0,139.5,game-changers,LATAM,0.44,0.37
9037,ChloeZerA,0,1,Breach,7,15,9,0,0,0,155.19,game-changers,LATAM,0.44,0.25
9060,Alkyia,0,1,Skye,18,17,4,5,2,0,232.09,vct-international,EMEA,0.82,1.24
9062,Wens,0,1,Cypher,11,17,3,1,3,0,148.73,vct-international,EMEA,0.5,0.25
9063,Felipa,0,1,Omen,22,13,5,3,0,2,291.82,vct-international,EMEA,1.0,1.18
9091,roxi,0,1,Killjoy,16,16,3,3,0,1,203.0,game-changers,EMEA,0.7,0.47
9092,Glance,0,1,Sova,12,16,6,0,2,0,155.83,game-changers,EMEA,0.52,0.34
9101,miyori,0,1,Cypher,6,16,2,0,3,0,93.25,game-changers,EMEA,0.3,0.21
9104,sarah2,0,1,Breach,6,16,5,0,3,0,86.3,game-changers,EMEA,0.3,0.31
9105,mimi,1,0,Breach,13,10,6,2,1,0,180.25,game-changers,EMEA,0.65,0.63
9106,Petra,1,0,Fade,16,10,7,3,1,0,215.0,game-changers,EMEA,0.8,0.66
9108,Vania,1,0,Omen,19,9,11,1,0,0,256.45,vct-international,EMEA,0.95,0.75
9109,rezq,1,0,Raze,17,14,6,7,3,0,238.45,game-changers,EMEA,0.85,0.93
9110,bizerra,0,1,Killjoy,17,16,8,4,1,0,203.46,game-changers,BR,0.71,0.54
9111,bstrdd,0,1,Jett,16,18,2,3,3,0,191.25,game-changers,BR,0.67,0.64
9112,daiki,0,1,KAY/O,17,17,13,1,3,0,208.71,game-changers,BR,0.71,1.12
9113,isaa,0,1,Sova,16,17,2,3,3,1,191.25,game-changers,BR,0.67,0.64
9114,Joojina,0,1,Omen,19,18,14,2,1,0,232.29,game-changers,BR,0.79,0.91
9115,srN,1,0,Jett,19,19,3,6,9,0,202.46,game-changers,BR,0.79,0.91
9117,sayuri,1,0,Omen,21,17,10,2,3,1,255.21,game-changers,BR,0.88,1.36
9122,shyz,0,1,Gekko,15,13,4,0,1,1,185.67,game-changers,BR,0.71,0.78
9123,lissA,0,1,Viper,13,18,6,2,2,0,197.05,game-changers,BR,0.62,0.9
9125,bizerra,1,0,Cypher,15,10,5,3,1,2,181.95,game-changers,BR,0.71,0.39
9126,bstrdd,1,0,Raze,18,13,2,2,6,0,230.48,game-changers,BR,0.86,1.27
9127,daiki,1,0,Skye,13,15,4,2,1,0,167.0,game-changers,BR,0.62,0.52
9128,isaa,1,0,Viper,16,11,5,1,1,0,233.67,game-changers,BR,0.76,1.04
9129,Joojina,1,0,Brimstone,17,12,11,4,0,0,230.52,game-changers,BR,0.81,0.92
9130,dodonut,0,1,Jett,17,17,4,4,4,0,205.14,game-changers,NA,0.77,0.72
9155,Glance,0,1,Sova,15,24,8,1,2,0,151.31,game-changers,EMEA,0.47,0.5
9156,roxi,0,1,Killjoy,26,25,5,5,2,1,242.5,game-changers,EMEA,0.81,0.84
9161,ChloeZerA,0,1,Viper,11,14,4,3,1,0,207.72,game-changers,LATAM,0.61,0.35
9163,ICamii,0,1,Omen,13,14,5,0,2,0,214.39,game-changers,LATAM,0.72,0.53
9166,mmonch,1,0,Cypher,12,10,11,1,0,0,214.83,game-changers,LATAM,0.67,0.33
9167,JuW,1,0,Raze,22,10,7,8,2,0,368.44,game-changers,LATAM,1.22,1.06
9168,Ivy,1,0,Skye,13,10,3,1,1,0,162.83,game-changers,LATAM,0.72,0.98
9181,dodonut,1,0,Raze,23,10,5,8,2,0,343.95,game-changers,NA,1.15,1.23
9203,sayuri,1,0,Brimstone,8,16,10,2,3,0,135.14,game-changers,BR,0.36,0.41
9204,srN,1,0,Raze,23,17,4,6,4,0,317.59,game-changers,BR,1.05,1.23
9205,lissA,0,1,Viper,22,15,6,0,1,0,282.09,game-changers,BR,1.0,1.45
9206,antg,0,1,Brimstone,18,17,9,3,5,0,221.05,game-changers,BR,0.82,1.69
9209,m4ndfreak,0,1,Gekko,8,15,8,0,1,0,118.27,game-changers,BR,0.36,0.5
9220,bizerra,1,0,Killjoy,18,7,2,2,0,3,243.11,game-changers,BR,1.0,1.56
9221,bstrdd,1,0,Raze,26,16,1,4,2,0,397.61,game-changers,BR,1.44,1.14
9222,daiki,1,0,Fade,6,14,13,0,4,0,126.0,game-changers,BR,0.33,0.56
9223,isaa,1,0,Viper,9,15,8,1,3,0,167.17,game-changers,BR,0.5,0.36
9224,Joojina,1,0,Omen,15,10,10,0,2,1,209.72,game-changers,BR,0.83,1.25
9225,srN,0,1,Raze,14,16,7,4,1,0,261.5,game-changers,BR,0.78,0.84
9227,sayuri,0,1,Omen,17,14,7,2,0,0,264.78,game-changers,BR,0.94,1.16
9241,ChloeZerA,0,1,Fade,10,16,6,2,0,0,168.28,game-changers,LATAM,0.56,0.69
9242,ICamii,0,1,Omen,11,12,6,2,2,1,169.44,game-changers,LATAM,0.61,0.9
9245,mmonch,1,0,Cypher,21,8,1,0,0,1,282.0,game-changers,LATAM,1.17,0.69
9246,Ivy,1,0,Gekko,13,7,2,0,1,1,183.11,game-changers,LATAM,0.72,0.98
9249,JuW,1,0,Raze,16,10,4,4,6,0,262.33,game-changers,LATAM,0.89,1.21
9263,dodonut,0,1,Jett,15,15,1,5,3,0,217.11,game-changers,NA,0.79,0.8
9265,florescent,1,0,Jett,20,10,2,3,1,1,269.37,game-changers,NA,1.05,1.31
9271,miyori,0,1,Killjoy,14,17,4,4,3,1,179.67,game-changers,EMEA,0.67,0.79
9274,sarah2,0,1,KAY/O,12,16,8,2,1,0,157.29,game-changers,EMEA,0.57,0.63
9276,Mary,1,0,Jett,28,14,1,8,2,0,371.19,game-changers,EMEA,1.33,1.08
9278,Toki,1,0,Astra,9,11,11,0,0,0,123.76,game-changers,EMEA,0.43,0.34
9279,eva,1,0,Sova,20,11,6,3,0,0,279.52,vct-international,EMEA,0.95,1.0
9297,shyz,1,0,Sova,13,14,6,0,2,1,163.13,game-changers,BR,0.57,0.68
9298,lissA,1,0,Omen,14,17,14,1,6,1,186.0,game-changers,BR,0.61,0.67
9310,Toki,1,0,Raze,21,19,1,5,3,0,234.88,game-changers,EMEA,0.81,0.62
9314,eva,1,0,Omen,28,14,10,1,2,0,286.5,vct-international,EMEA,1.08,1.15
9336,Wens,1,0,Cypher,21,13,5,7,1,0,291.05,vct-international,EMEA,1.0,0.86
9337,Alkyia,1,0,Raze,14,17,2,3,6,0,181.95,vct-international,EMEA,0.67,0.98
9338,Felipa,1,0,Breach,18,13,4,1,0,1,231.33,vct-international,EMEA,0.86,0.79
9341,florescent,1,0,Jett,18,11,2,2,3,1,260.11,game-changers,NA,1.0,1.0
9355,ICamii,1,0,Omen,15,19,5,3,1,1,170.2,game-changers,LATAM,0.56,0.65
9359,ChloeZerA,1,0,KAY/O,15,16,15,1,2,0,176.68,game-changers,LATAM,0.56,0.57
9370,Felipa,0,1,Breach,17,16,6,2,2,0,197.5,vct-international,EMEA,0.71,0.87
9372,Wens,0,1,Cypher,11,17,6,2,1,0,144.5,vct-international,EMEA,0.46,0.41
9373,Alkyia,0,1,Fade,20,17,10,3,1,0,232.75,vct-international,EMEA,0.83,0.64
9400,Ivy,1,0,Gekko,17,14,4,2,3,0,201.69,game-changers,LATAM,0.65,1.07
9402,mmonch,1,0,Cypher,23,20,6,3,3,0,250.31,game-changers,LATAM,0.88,1.18
9403,JuW,1,0,Raze,18,19,5,3,3,0,199.54,game-changers,LATAM,0.69,0.91
9445,Harshhh,0,1,Sova,14,13,3,1,0,1,180.9,vct-challengers,INTL,0.67,0.51
9446,hvoya,0,1,Sage,11,16,8,1,2,0,150.81,vct-challengers,INTL,0.52,0.34
9447,flabben,0,1,Omen,13,15,6,4,1,0,187.76,vct-challengers,INTL,0.62,0.62
9448,Deadly10,0,1,Jett,18,18,5,4,6,0,235.95,vct-challengers,INTL,0.86,1.17
9465,Harshhh,0,1,Viper,14,14,4,1,0,0,260.06,vct-challengers,INTL,0.88,1.23
9466,flabben,0,1,Jett,4,14,3,2,5,0,100.44,vct-challengers,INTL,0.25,0.19
9468,Deadly10,0,1,Killjoy,8,16,2,1,1,0,152.88,vct-challengers,INTL,0.5,0.75
9469,hvoya,0,1,Sova,13,12,2,1,1,0,229.12,vct-challengers,INTL,0.81,0.9
9499,Hellff,0,1,Astra,16,15,8,1,3,1,163.21,vct-challengers,INTL,0.67,0.72
9525,dapr,0,1,Viper,17,16,9,3,3,0,254.29,vct-international,NA,0.81,0.82
9526,Oxy,0,1,Raze,10,18,3,1,6,0,152.62,vct-international,NA,0.48,0.82
9575,Cebando,1,0,Omen,17,21,11,1,5,0,174.68,vct-challengers,LAS,0.61,0.88
9576,tinchoff,1,0,Killjoy,20,20,4,3,4,0,211.79,vct-challengers,LAS,0.71,0.63
9579,NicoMachine,1,0,Breach,21,18,21,2,1,0,222.89,vct-challengers,LAS,0.75,0.76
9670,YESicaN,1,0,Viper,13,12,9,1,1,0,253.53,vct-challengers,VN,0.68,1.06
9671,f1cio,1,0,Omen,26,9,5,3,0,1,365.68,vct-challengers,VN,1.37,0.97
9672,gin,1,0,Killjoy,11,12,2,1,7,0,172.47,vct-challengers,VN,0.58,0.98
9673,WUKONG,1,0,KAY/O,12,14,12,1,1,0,189.42,vct-challengers,VN,0.63,0.65
9674,n1zzy,1,0,Sova,13,13,7,1,3,0,189.84,vct-challengers,VN,0.68,0.64
9705,Tag,1,0,Breach,18,12,14,1,0,0,204.23,vct-challengers,EMEA,0.82,0.97
9706,xazyyyy,1,0,Omen,18,16,12,3,3,0,225.5,vct-challengers,EMEA,0.82,0.79
9707,caydeN,1,0,Fade,22,13,7,1,2,0,254.91,vct-challengers,EMEA,1.0,1.09
9708,WACKIE,1,0,Raze,26,15,5,3,2,0,340.27,vct-challengers,EMEA,1.18,0.79
9709,feqew,1,0,Killjoy,15,13,8,4,3,0,210.18,vct-international,EMEA,0.68,0.76
9710,Kush,1,0,Fade,25,11,10,4,1,0,341.95,vct-challengers,SEA,1.32,1.8
9711,asteriskk,1,0,Brimstone,4,12,9,1,2,0,87.0,vct-challengers,SEA,0.21,0.17
9712,adrnking,1,0,Breach,19,8,16,0,0,2,256.68,vct-challengers,SEA,1.0,0.74
9715,Shiro,0,1,Breach,14,14,7,0,0,0,207.16,vct-challengers,SEA,0.74,1.14
9716,blaZek1ngg,0,1,Brimstone,16,15,3,1,2,1,245.58,vct-international,SEA,0.84,1.61
9717,BerserX PRE,0,1,Cypher,7,18,2,2,5,0,122.47,vct-challengers,SEA,0.37,0.34
9718,severiNe,0,1,KAY/O,8,18,3,0,4,0,137.95,vct-challengers,SEA,0.42,0.66
9719,famouz,0,1,Jett,11,17,4,4,1,0,181.26,vct-challengers,SEA,0.58,0.45
9725,Ra1ny,1,0,Astra,9,10,7,0,2,0,114.0,vct-challengers,SEA,0.47,0.88
9726,YanLi,1,0,KAY/O,22,9,11,3,0,0,322.79,vct-challengers,SEA,1.16,0.76
9727,ChiaWei,1,0,Sova,11,11,7,0,1,0,147.21,vct-challengers,SEA,0.58,0.45
9728,W1nner,1,0,Killjoy,20,13,8,6,2,1,320.63,vct-challengers,SEA,1.05,0.79
9729,XyuS,1,0,Jett,20,10,2,4,1,0,260.42,vct-challengers,SEA,1.05,1.31
9735,eeiu,0,1,Breach,15,13,9,0,0,1,175.18,vct-international,NA,0.68,0.67
9736,Zander,0,1,Omen,12,15,7,2,2,0,156.5,vct-challengers,NA,0.55,0.52
9737,johnqt,0,1,Killjoy,12,13,2,2,1,0,149.82,vct-international,NA,0.55,0.79
9738,NiSMO,0,1,Skye,9,15,11,1,2,0,141.05,vct-challengers,NA,0.41,0.33
9739,koalanoob,0,1,Jett,16,15,1,7,4,0,210.27,vct-challengers,NA,0.73,0.65
9765,hvoya,0,1,Sova,17,20,15,3,2,0,181.87,vct-challengers,INTL,0.57,0.65
9766,Harshhh,0,1,Omen,21,19,18,0,1,0,207.1,vct-challengers,INTL,0.7,0.68
9768,flabben,0,1,Chamber,13,20,3,2,3,0,119.13,vct-challengers,INTL,0.43,0.38
9769,Deadly10,0,1,Jett,34,19,9,10,3,0,326.97,vct-challengers,INTL,1.13,1.18
9775,ZYND,0,1,Viper,14,19,5,4,5,0,189.82,vct-challengers,SEA,0.64,0.78
9777,PatMen,0,1,Skye,17,18,3,1,3,0,196.77,vct-challengers,SEA,0.77,0.9
9787,Oxy,0,1,Raze,8,14,3,0,4,0,167.06,vct-international,NA,0.5,0.62
9789,dapr,0,1,Viper,6,12,4,0,1,0,122.0,vct-international,NA,0.38,0.61
9790,flabben,1,0,Jett,18,13,2,3,5,1,252.32,vct-challengers,INTL,0.82,1.15
9791,Deadly10,1,0,Killjoy,14,14,6,1,3,0,205.09,vct-challengers,INTL,0.64,0.78
9792,hvoya,1,0,Skye,23,15,6,3,2,0,271.73,vct-challengers,INTL,1.05,1.68
9794,Harshhh,1,0,Viper,13,13,10,0,3,1,176.05,vct-challengers,INTL,0.59,0.97
9805,Georggyyy,0,1,Jett,8,17,4,4,6,0,132.35,vct-challengers,SEA,0.4,0.44
9806,xavi8k,0,1,Phoenix,7,16,5,0,4,0,118.25,vct-challengers,SEA,0.35,0.43
9807,Nexi,0,1,Killjoy,17,13,4,1,1,1,240.85,vct-international,SEA,0.85,0.73
9808,Marky3,0,1,Skye,19,14,5,1,0,0,248.05,vct-challengers,SEA,0.95,0.95
9809,Wild0reoo,0,1,Astra,7,17,9,0,3,0,112.75,vct-international,SEA,0.35,0.43
9825,Shiro,1,0,Harbor,8,13,5,0,2,0,110.19,vct-challengers,SEA,0.38,0.43
9826,famouz,1,0,Jett,24,16,5,5,4,0,330.52,vct-challengers,SEA,1.14,1.36
9827,blaZek1ngg,1,0,Sova,15,12,4,1,0,0,188.43,vct-international,SEA,0.71,0.68
9828,severiNe,1,0,Viper,19,13,4,3,2,1,227.95,vct-challengers,SEA,0.9,0.94
9829,BerserX PRE,1,0,Killjoy,17,12,1,2,2,1,243.52,vct-challengers,SEA,0.81,0.63
9840,Xdll,0,1,Sova,7,13,3,0,2,0,129.67,vct-international,JP,0.47,0.52
9841,SyouTa ,0,1,Viper,9,12,4,1,0,0,181.33,vct-challengers,JP,0.6,0.37
9842,JoxJo,0,1,Sage,4,14,7,0,6,0,121.33,vct-international,JP,0.27,0.33
9843,hiroronn,0,1,Killjoy,9,14,2,3,2,0,175.53,vct-international,JP,0.6,0.64
9844,CLZ,0,1,Omen,13,13,1,1,0,0,264.2,vct-challengers,JP,0.87,1.05
9850,PatMen,0,1,Killjoy,19,15,2,2,0,0,250.24,vct-challengers,SEA,0.9,0.85
9854,ZYND,0,1,Jett,14,17,2,3,5,0,204.71,vct-challengers,SEA,0.67,0.51
9870,Cebando,1,0,Astra,29,18,24,3,5,0,274.62,vct-challengers,LAS,0.91,1.33
9871,tinchoff,1,0,Cypher,20,17,7,3,1,1,173.84,vct-challengers,LAS,0.62,0.55
9872,NicoMachine,1,0,KAY/O,27,22,13,1,5,1,218.0,vct-challengers,LAS,0.84,1.07
9880,Drax,1,0,Omen,15,9,8,3,2,0,237.94,vct-challengers,SEA,0.88,0.81
9881,Nexi,1,0,Killjoy,15,7,5,3,0,0,237.76,vct-international,SEA,0.88,1.04
9882,xavi8k,1,0,Breach,14,8,12,0,1,0,261.0,vct-challengers,SEA,0.82,0.85
9883,Georggyyy,1,0,Jett,16,13,2,1,4,1,235.24,vct-challengers,SEA,0.94,1.35
9884,Wild0reoo,1,0,Sova,9,10,3,2,1,0,158.59,vct-international,SEA,0.53,0.6
9885,PatMen,0,1,Sova,14,13,4,2,2,0,218.47,vct-challengers,SEA,0.82,0.73
9887,ZYND,0,1,Jett,5,16,4,2,4,0,97.88,vct-challengers,SEA,0.29,0.21
9890,gin,0,1,Chamber,25,17,2,5,3,0,262.81,vct-challengers,VN,1.04,1.37
9891,f1cio,0,1,Viper,14,20,9,3,3,0,173.19,vct-challengers,VN,0.58,0.74
9892,YESicaN,0,1,Gekko,10,18,9,0,4,0,119.44,vct-challengers,VN,0.42,0.58
9893,n1zzy,0,1,KAY/O,25,17,17,3,1,0,273.48,vct-challengers,VN,1.04,1.46
9894,Hyzee,0,1,Astra,14,18,10,1,1,0,139.48,vct-challengers,VN,0.58,0.49
9925,Wild0reoo,0,1,KAY/O,10,13,13,0,1,0,152.38,vct-international,SEA,0.48,1.3
9926,Marky3,0,1,Sova,16,17,15,2,1,0,251.76,vct-challengers,SEA,0.76,0.75
9927,Georggyyy,0,1,Jett,17,19,8,4,4,0,246.67,vct-challengers,SEA,0.81,0.82
9928,Nexi,0,1,Cypher,15,17,8,5,3,1,208.38,vct-international,SEA,0.71,0.68
9929,Drax,0,1,Omen,13,14,5,1,0,0,149.86,vct-challengers,SEA,0.62,0.52
9960,PinOcChiOs,0,1,Breach,12,21,19,1,1,1,164.27,vct-challengers,SEA,0.46,0.4
9961,Changeeee,0,1,Jett,19,20,3,5,4,0,212.69,vct-challengers,SEA,0.73,0.66
9963,Acetics,0,1,Sova,17,17,8,3,4,1,178.23,vct-challengers,SEA,0.65,0.53
9964,Chainyyy,0,1,Killjoy,17,16,7,1,0,2,179.27,vct-challengers,SEA,0.65,0.53
9965,Flukyy3,1,0,Astra,23,17,9,7,2,0,251.15,vct-international,SEA,0.88,0.72
9966,theelovefam,1,0,Killjoy,20,12,2,2,2,0,198.38,vct-international,SEA,0.77,0.64
9967,killua,1,0,Sova,17,16,4,2,1,0,202.62,vct-international,SEA,0.65,0.61
9968,JohnOlsen,1,0,Jett,15,18,6,2,2,0,168.96,vct-international,SEA,0.58,0.63
9969,Apinya ,1,0,Breach,21,18,12,1,5,1,234.92,vct-international,SEA,0.81,1.16
9971,UNNSTO,1,0,Skye,19,18,15,3,2,0,188.43,vct-challengers,LAS,0.63,0.83
9972,mta,1,0,Raze,41,22,9,7,3,0,404.47,vct-international,LAS,1.37,1.5
9973,Puleule,1,0,Viper,10,19,5,0,2,0,99.43,vct-challengers,LAS,0.33,0.36
10025,jfoeN,0,1,Breach,16,13,6,1,1,1,257.18,vct-challengers,LATAM,0.94,1.35
10026,Feniz,0,1,Killjoy,7,15,3,1,1,0,163.47,vct-challengers,LATAM,0.41,0.48
10027,BandiCoot,0,1,Brimstone,8,15,3,1,2,0,139.18,vct-challengers,LATAM,0.47,0.48
10028,Jowzera,0,1,Skye,9,17,4,2,1,0,153.47,vct-challengers,LATAM,0.53,0.6
10085,adrnking,1,0,Breach,17,9,10,1,1,1,203.86,vct-challengers,SEA,0.77,0.81
10095,b3ta,1,0,Astra,11,15,11,1,1,0,143.14,vct-challengers,SEA,0.52,0.63
10096,kongared,1,0,Skye,16,11,11,2,0,2,207.38,vct-challengers,SEA,0.76,0.56
10097,AloNeFillz,1,0,Sova,15,10,5,2,0,1,185.19,vct-challengers,SEA,0.71,0.68
10098,Kadoom,1,0,Jett,22,12,7,7,3,0,295.67,vct-challengers,SEA,1.05,0.9
10099,PTC,1,0,Killjoy,13,14,7,1,3,0,192.95,vct-international,SEA,0.62,0.52
10200,Flukyy3,1,0,Omen,18,14,17,2,2,1,246.48,vct-international,SEA,0.86,0.98
10201,killua,1,0,Sova,17,11,7,1,1,0,197.57,vct-international,SEA,0.81,0.92
10203,JohnOlsen,1,0,Jett,19,14,5,5,1,0,258.9,vct-international,SEA,0.9,0.85
10204,Apinya ,1,0,KAY/O,14,15,14,1,5,0,200.52,vct-international,SEA,0.67,0.7
10235,Shiro,0,1,Breach,19,17,16,1,2,0,272.92,vct-challengers,SEA,0.79,0.83
10236,famouz,0,1,Jett,10,18,3,2,8,1,146.33,vct-challengers,SEA,0.42,0.49
10237,severiNe,0,1,Killjoy,14,17,3,1,3,0,167.38,vct-challengers,SEA,0.58,0.74
10238,blaZek1ngg,0,1,Astra,20,16,12,3,3,1,239.62,vct-international,SEA,0.83,0.89
10239,Cud,0,1,Sova,15,17,4,1,0,0,180.12,vct-challengers,SEA,0.62,0.73
10250,jfoeN,1,0,KAY/O,10,9,21,2,0,0,193.72,vct-challengers,LATAM,0.56,0.47
10251,Jowzera,1,0,Sova,24,13,6,2,1,0,341.89,vct-challengers,LATAM,1.33,0.89
10252,BandiCoot,1,0,Astra,10,10,7,2,4,0,162.44,vct-challengers,LATAM,0.56,0.47
10253,Feniz,1,0,Killjoy,19,5,1,1,0,2,255.94,vct-challengers,LATAM,1.06,1.61
10255,TwoPotz,0,1,Viper,6,14,3,1,5,0,101.83,vct-challengers,LATAM,0.33,0.33
10258,PxS,0,1,Killjoy,8,14,1,0,1,0,129.28,vct-challengers,LATAM,0.44,0.36
10280,adrnking,1,0,Breach,16,16,5,1,1,0,209.74,vct-challengers,SEA,0.7,0.73
10282,asteriskk,1,0,Brimstone,13,17,25,0,3,0,190.83,vct-challengers,SEA,0.57,0.59
10283,Kush,1,0,Skye,16,16,11,2,3,0,186.09,vct-challengers,SEA,0.7,0.73
10290,adrnking,0,1,Breach,13,15,14,0,0,0,178.35,vct-challengers,SEA,0.65,0.73
10292,Kush,0,1,Fade,13,17,4,2,1,0,190.15,vct-challengers,SEA,0.65,0.43
10294,asteriskk,0,1,Brimstone,19,15,14,2,0,1,247.8,vct-challengers,SEA,0.95,0.75
10315,Kiuuuu,1,0,Viper,11,14,3,0,2,1,159.68,vct-challengers,SEA,0.58,0.56
10316,coconut,1,0,Killjoy,7,10,4,1,1,0,120.0,vct-challengers,SEA,0.37,0.44
